number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
152,0.08125,0.1680131907991846,4.747987875347927,6.875144787901625,0.5276488664600528,0.1013397086496358,3.5939645009982053,2.7015873546765303e-05,COMPLETE
153,0.0733,0.4004821259959404,3.0455122299916,1.6585808018704573,9.434796325054796,0.012367602403591714,46.83459773148538,8.404943762538142e-14,COMPLETE
154,0.1075,0.6302351866808712,6.9723083356448035,7.17211618019438,0.020393106282222583,51.0531204742495,4.230818933588808,1.411974617726117e-08,COMPLETE
155,0.08995,0.5293884852454483,2.8467952672042545,8.359124144204223,687.6639452288613,0.9057350711055674,0.014984805515844538,1.5335060532903536e-12,COMPLETE
156,0.0787,0.6375851160025356,3.7523591558107,9.128216802233714,3674.145967059104,110.16646134717259,41.972091817911355,9.179712089062891e-11,COMPLETE
157,0.0835,0.6000464140492655,4.335111916469993,2.993675852995717,2661.553121751245,1.2594502646806938,17.543999742650467,7.242135537625552e-11,COMPLETE
158,0.05695,0.343953660634229,6.103623020551158,2.2170817359027377,0.21068030120772424,0.08777741099799043,3.017106373964752,2.2704812826588045e-12,COMPLETE
159,0.06985,0.5343044465290014,6.103623020551158,2.839979984936102,0.21068030120772424,0.48931201159270643,0.01777158201797886,3.787929895519139e-07,COMPLETE
160,0.0872,0.15587006317697444,5.686980021608849,9.47835620413639,5.079487279112919,3.858204027730059,94.45626116932038,0.00436389155476098,COMPLETE
161,0.0874,0.47719181157025786,4.958426658725357,3.3801923275388828,104.61067826393281,0.3710234766141632,80.46577679760097,3.649569116806477e-06,COMPLETE
162,0.0813,0.42660407882879137,5.07985354852306,1.5455685639813577,62.43778013936985,0.08461218904615202,0.9347206111084184,1.9043961097477443e-12,COMPLETE
163,0.08055,0.5829341152939109,3.046425174476959,6.875144787901625,0.06483803734091015,4.703038707832875,0.01777158201797886,2.450464818207948e-13,COMPLETE
164,0.06735,0.5846047463723097,5.826108180232255,3.812714163562798,0.18468504546596953,1.5630282565660134,0.0247605531247782,1.4411310191528362e-14,COMPLETE
165,0.05975,0.3492555851699442,2.8467952672042545,1.4234508712843703,0.4634053899763641,51.0531204742495,1.4298640803911997,1.5335060532903536e-12,COMPLETE
166,0.07015,0.48979777955235504,3.7523591558107,2.2991799521485987,0.1408475566058648,110.16646134717259,2.606433764399818,2.657526446602934e-12,COMPLETE
167,0.05465,0.4259256113195057,3.999286460242423,3.3801923275388828,0.014163043718649002,0.17740617781052795,80.46577679760097,6.338054654029837e-09,COMPLETE
168,0.07085,0.5813147486883419,7.296565715563787,3.3801923275388828,0.6975592224319972,0.44649345881738217,0.01777158201797886,4.586639184907917e-09,COMPLETE
169,0.08945,0.48437647154893937,3.046425174476959,8.528259812725711,0.1654892103279253,4.703038707832875,80.46577679760097,2.450464818207948e-13,COMPLETE
170,0.07905,0.426878104089556,4.335111916469993,2.2991799521485987,2661.553121751245,1.2594502646806938,0.01997811648510369,1.7411112824373338e-14,COMPLETE
171,0.07465,0.5046642577478698,3.0455122299916,5.92917196696572,0.016767417635497637,0.22046767715170015,5.192615578479196,1.7411112824373338e-14,COMPLETE
172,0.08815,0.6016073545212411,5.670129929379272,9.47835620413639,2.027477946583343,0.021875706805845035,94.45626116932038,1.5335060532903536e-12,COMPLETE
173,0.0634,0.4595516073706028,3.999286460242423,2.8036597183497527,18.28211977792053,55.29124057933768,12.491315660805293,5.500558613611513e-12,COMPLETE
174,0.0666,0.52273335581095,6.103623020551158,2.839979984936102,106.9046891744982,0.3710234766141632,80.46577679760097,3.649569116806477e-06,COMPLETE
175,0.05635,0.2526165973999939,0.5320329100623764,1.7519510271087413,1.9562826277387932,5.054984284069897,76.57127726580364,1.621364679176634e-08,COMPLETE
176,0.059,0.4064384944732683,2.6687924132954657,2.2170817359027377,293.8273741494749,26.74882813359584,3.017106373964752,1.5085857231899863e-09,COMPLETE
177,0.05655,0.46535107249838537,3.7523591558107,2.5667299278096025,0.016767417635497637,110.16646134717259,2.606433764399818,9.152354487403374e-07,COMPLETE
